StrikePrice,GEX
10000.0,0.0
12000.0,0.0
14000.0,0.0
16000.0,0.0
18000.0,0.0
20000.0,0.0
21000.0,0.0
22000.0,0.0
23000.0,0.0
24000.0,0.0
25000.0,0.0
26000.0,0.0
27000.0,0.0
28000.0,0.0
29000.0,0.0
29500.0,0.0
29750.0,0.0
30000.0,0.0
30250.0,0.0
30500.0,0.0
30750.0,0.0
31000.0,0.0
31250.0,0.0
31500.0,0.0
31750.0,0.0
32000.0,0.0
32250.0,0.0
32500.0,0.0
32750.0,0.0
33000.0,0.0
33250.0,0.0
33500.0,0.0
33750.0,0.0
34000.0,0.0
34250.0,0.0
34500.0,0.0
34750.0,0.0
35000.0,0.0
35250.0,0.0
35500.0,0.0
35750.0,0.0
36000.0,0.0
36250.0,0.0
36500.0,0.0
36750.0,0.0
37000.0,0.0
37250.0,0.0
37500.0,0.0
37750.0,0.0
38000.0,0.0
38250.0,0.0
38500.0,0.0
38750.0,0.0
39000.0,0.0
39250.0,0.0
39500.0,0.0
39750.0,0.0
40000.0,0.0
40250.0,0.0
40500.0,0.0
40750.0,0.0
41000.0,0.0
41250.0,0.0
41500.0,0.0
41750.0,0.0
42000.0,0.0
42250.0,0.0
42500.0,0.0
42750.0,619.38
43000.0,71392.9
43250.0,6752.29
43500.0,0.56
43750.0,0.0
44000.0,0.0
44250.0,0.0
44500.0,0.0
44750.0,0.0
45000.0,0.0
45250.0,1970.54
45500.0,0.0
45750.0,1618.73
46000.0,1516.52
46250.0,1435.04
46500.0,1363.38
46750.0,1296.72
47000.0,1233.21
47250.0,1167.85
47500.0,1105.82
47750.0,1043.23
48000.0,981.94
48250.0,922.32
48500.0,862.51
48625.0,833.81
48750.0,801.96
48875.0,772.89
49000.0,743.63
49125.0,714.19
49250.0,688.08
49375.0,658.27
49500.0,628.27
49625.0,597.9
49750.0,571.05
49875.0,544.21
50000.0,502.54
50125.0,489.77
50250.0,466.06
50375.0,438.85
50500.0,404.59
50625.0,391.07
50750.0,363.85
50875.0,343.3
51000.0,322.75
51125.0,302.19
51250.0,281.82
51375.0,261.46
51500.0,230.16
51625.0,224.24
51750.0,207.2
51875.0,190.35
52000.0,178.32
52125.0,159.61
52250.0,147.95
52375.0,134.25
52500.0,124.8
52625.0,109.62
52750.0,100.55
52875.0,101.47
53000.0,91.84
53125.0,84.07
53250.0,76.29
53375.0,67.22
53500.0,90.36
53625.0,55.18
53750.0,49.25
53875.0,44.63
54000.0,40.0
54125.0,32.77
54250.0,31.85
54375.0,28.33
54500.0,24.81
54625.0,22.22
54750.0,19.63
54875.0,17.22
55000.0,15.18
55125.0,11.85
55250.0,11.67
55375.0,10.37
55500.0,9.07
55625.0,7.78
55750.0,6.48
55875.0,5.74
56000.0,4.63
56125.0,4.44
56250.0,3.89
56375.0,3.33
56500.0,2.59
56625.0,2.41
56750.0,2.04
56875.0,1.85
57000.0,2.41
57125.0,1.3
57250.0,1.3
57375.0,1.11
57500.0,0.93
57625.0,0.74
57750.0,0.74
57875.0,0.56
58000.0,0.56
58125.0,0.37
58250.0,0.37
58375.0,0.37
58500.0,0.37
58625.0,0.19
58750.0,0.19
58875.0,0.19
59000.0,0.19
59125.0,0.19
59250.0,0.19
59375.0,0.19
59500.0,0.19
59625.0,0.19
59750.0,0.0
59875.0,0.0
60000.0,0.0
60125.0,0.0
60250.0,0.0
60375.0,0.0
60500.0,0.0
60625.0,0.0
60750.0,0.0
60875.0,0.0
61000.0,0.0
61125.0,0.0
61250.0,0.0
61375.0,0.0
61500.0,0.0
61625.0,0.0
61750.0,0.0
61875.0,0.0
62000.0,0.0
62500.0,0.0
63000.0,0.0
63500.0,0.0
64000.0,0.0
64500.0,0.0
65000.0,0.0
66000.0,0.0
67000.0,0.0
68000.0,0.0
69000.0,0.0
70000.0,0.0
72500.0,0.0
75000.0,0.0
